Product_ID,Price,Category,Date
P0001,8838,Home Kitchen,17-07-2025
P0002,10176,Books,23-07-2025
P0003,2584,Laptop,18-07-2025
P0004,11887,Books,05-07-2025
P0005,8016,Electronics,03-07-2025
P0006,9620,Books,05-07-2025
P0007,18674,Electronics,11-07-2025
P0008,131,Home Kitchen,18-07-2025
P0009,9159,Beauty,12-07-2025
P0010,11087,Beauty,22-07-2025
P0011,11712,Laptop,23-07-2025
P0012,112,Stationery,08-07-2025
P0013,17709,Accessories,13-07-2025
P0014,15617,Sports,17-07-2025
P0015,6306,Sports,06-07-2025
P0016,12469,Accessories,15-07-2025
P0017,2995,Home Kitchen,15-07-2025
P0018,4594,Sports,18-07-2025
P0019,7810,Sports,03-07-2025
P0020,2320,Books,18-07-2025
P0021,12484,Sports,31-07-2025
P0022,8187,Fashion,18-07-2025
P0023,9269,Beauty,12-07-2025
P0024,8718,Books,15-07-2025
P0025,16892,Home Kitchen,31-07-2025
P0026,16916,Toys,21-07-2025
P0027,13794,Stationery,02-07-2025
P0028,18114,Electronics,11-07-2025
P0029,10433,Sports,29-07-2025
P0030,11203,Beauty,13-07-2025
P0031,15586,Electronics,31-07-2025
P0032,18696,Home Kitchen,25-07-2025
P0033,19757,Accessories,20-07-2025
P0034,17494,Beauty,12-07-2025
P0035,19171,Laptop,07-07-2025
P0036,5202,Electronics,08-07-2025
P0037,16983,Toys,30-07-2025
P0038,15924,Electronics,09-07-2025
P0039,735,Laptop,04-07-2025
P0040,15341,Beauty,13-07-2025
P0041,6056,Sports,22-07-2025
P0042,8163,Sports,22-07-2025
P0043,14708,Home Kitchen,30-07-2025
P0044,1349,Electronics,28-07-2025
P0045,8471,Accessories,09-07-2025
P0046,6062,Electronics,26-07-2025
P0047,17938,Beauty,31-07-2025
P0048,14541,Toys,24-07-2025
P0049,10135,Electronics,08-07-2025
P0050,12154,Books,30-07-2025
P0051,19173,Home Kitchen,19-07-2025
P0052,15421,Electronics,17-07-2025
P0053,2709,Accessories,20-07-2025
P0054,19624,Books,20-07-2025
P0055,3535,Books,20-07-2025
P0056,11114,Laptop,14-07-2025
P0057,5435,Toys,14-07-2025
P0058,5254,Sports,05-07-2025
P0059,13571,Sports,22-07-2025
P0060,6939,Accessories,20-07-2025
P0061,2468,Beauty,02-07-2025
P0062,4443,Home Kitchen,12-07-2025
P0063,14485,Accessories,06-07-2025
P0064,12242,Stationery,19-07-2025
P0065,1443,Stationery,11-07-2025
P0066,5571,Beauty,28-07-2025
P0067,9662,Laptop,28-07-2025
P0068,5552,Electronics,24-07-2025
P0069,2564,Fashion,27-07-2025
P0070,4978,Toys,31-07-2025
P0071,3222,Fashion,05-07-2025
P0072,10398,Home Kitchen,13-07-2025
P0073,16673,Electronics,04-07-2025
P0074,3136,Accessories,08-07-2025
P0075,2926,Laptop,05-07-2025
P0076,12241,Beauty,19-07-2025
P0077,15068,Beauty,04-07-2025
P0078,8825,Stationery,05-07-2025
P0079,14833,Stationery,07-07-2025
P0080,9008,Home Kitchen,06-07-2025
P0081,11765,Sports,27-07-2025
P0082,12190,Books,27-07-2025
P0083,13920,Beauty,12-07-2025
P0084,4960,Beauty,14-07-2025
P0085,11989,Accessories,15-07-2025
P0086,19008,Home Kitchen,21-07-2025
P0087,12300,Toys,13-07-2025
P0088,13198,Accessories,23-07-2025
P0089,16592,Sports,01-07-2025
P0090,16466,Books,26-07-2025
P0091,11059,Stationery,23-07-2025
P0092,3399,Laptop,30-07-2025
P0093,1566,Accessories,13-07-2025
P0094,14630,Fashion,23-07-2025
P0095,1818,Stationery,18-07-2025
P0096,8318,Beauty,06-07-2025
P0097,10882,Sports,29-07-2025
P0098,12309,Stationery,05-07-2025
P0099,18372,Stationery,22-07-2025
P0100,17192,Accessories,22-07-2025
P0101,15267,Books,05-07-2025
P0102,16437,Beauty,22-07-2025
P0103,11279,Sports,17-07-2025
P0104,13414,Books,17-07-2025
P0105,5469,Laptop,30-07-2025
P0106,16261,Home Kitchen,10-07-2025
P0107,2505,Electronics,31-07-2025
P0108,1934,Books,13-07-2025
P0109,2284,Sports,10-07-2025
P0110,4666,Accessories,21-07-2025
P0111,19882,Sports,03-07-2025
P0112,3919,Accessories,26-07-2025
P0113,11020,Beauty,10-07-2025
P0114,18651,Toys,18-07-2025
P0115,12572,Fashion,19-07-2025
P0116,997,Accessories,02-07-2025
P0117,9222,Books,21-07-2025
P0118,14677,Home Kitchen,26-07-2025
P0119,6935,Beauty,03-07-2025
P0120,9176,Home Kitchen,14-07-2025
P0121,699,Books,01-07-2025
P0122,18155,Beauty,05-07-2025
P0123,12866,Stationery,09-07-2025
P0124,4233,Stationery,19-07-2025
P0125,2428,Sports,14-07-2025
P0126,19956,Electronics,27-07-2025
P0127,5849,Laptop,22-07-2025
P0128,6582,Beauty,29-07-2025
P0129,19356,Books,02-07-2025
P0130,8434,Home Kitchen,15-07-2025
P0131,15720,Home Kitchen,13-07-2025
P0132,7835,Home Kitchen,31-07-2025
P0133,15196,Stationery,03-07-2025
P0134,5881,Sports,24-07-2025
P0135,12231,Fashion,09-07-2025
P0136,6718,Beauty,02-07-2025
P0137,579,Beauty,16-07-2025
P0138,3769,Books,03-07-2025
P0139,16731,Accessories,15-07-2025
P0140,18113,Accessories,04-07-2025
P0141,637,Laptop,13-07-2025
P0142,17623,Laptop,11-07-2025
P0143,12309,Accessories,20-07-2025
P0144,6145,Electronics,25-07-2025
P0145,12397,Books,23-07-2025
P0146,10528,Stationery,30-07-2025
P0147,18472,Beauty,30-07-2025
P0148,10682,Sports,16-07-2025
P0149,18355,Beauty,20-07-2025
P0150,11330,Accessories,06-07-2025
P0151,5771,Electronics,12-07-2025
P0152,19078,Stationery,01-07-2025
P0153,1268,Fashion,01-07-2025
P0154,17306,Fashion,21-07-2025
P0155,5473,Toys,03-07-2025
P0156,17838,Laptop,30-07-2025
P0157,19844,Accessories,14-07-2025
P0158,5551,Toys,19-07-2025
P0159,12025,Books,12-07-2025
P0160,15398,Stationery,26-07-2025
P0161,15529,Home Kitchen,31-07-2025
P0162,19169,Toys,27-07-2025
P0163,11395,Electronics,01-07-2025
P0164,5432,Home Kitchen,18-07-2025
P0165,957,Stationery,08-07-2025
P0166,16910,Books,08-07-2025
P0167,554,Laptop,18-07-2025
P0168,19376,Home Kitchen,01-07-2025
P0169,12638,Toys,14-07-2025
P0170,17703,Fashion,11-07-2025
P0171,17915,Accessories,13-07-2025
P0172,10680,Stationery,29-07-2025
P0173,19731,Books,31-07-2025
P0174,7577,Home Kitchen,14-07-2025
P0175,14091,Accessories,25-07-2025
P0176,16601,Electronics,16-07-2025
P0177,8593,Stationery,18-07-2025
P0178,4759,Books,28-07-2025
P0179,5681,Sports,08-07-2025
P0180,4313,Books,11-07-2025
P0181,14343,Beauty,17-07-2025
P0182,7720,Books,29-07-2025
P0183,13028,Toys,19-07-2025
P0184,18644,Toys,16-07-2025
P0185,17391,Beauty,30-07-2025
P0186,1022,Sports,21-07-2025
P0187,7253,Stationery,30-07-2025
P0188,8338,Accessories,25-07-2025
P0189,12569,Laptop,03-07-2025
P0190,17871,Beauty,31-07-2025
P0191,7087,Accessories,18-07-2025
P0192,3586,Beauty,02-07-2025
P0193,9787,Books,02-07-2025
P0194,17995,Toys,17-07-2025
P0195,18948,Laptop,28-07-2025
P0196,11548,Electronics,09-07-2025
P0197,15421,Stationery,01-07-2025
P0198,14597,Stationery,29-07-2025
P0199,8302,Laptop,04-07-2025
P0200,2589,Beauty,30-07-2025
P0201,7834,Laptop,05-07-2025
P0202,10756,Toys,23-07-2025
P0203,10305,Stationery,05-07-2025
P0204,18404,Stationery,22-07-2025
P0205,10039,Sports,06-07-2025
P0206,16414,Beauty,19-07-2025
P0207,1165,Sports,15-07-2025
P0208,9968,Beauty,30-07-2025
P0209,16060,Books,08-07-2025
P0210,17078,Home Kitchen,09-07-2025
P0211,2294,Electronics,07-07-2025
P0212,10969,Home Kitchen,07-07-2025
P0213,13425,Beauty,18-07-2025
P0214,3990,Accessories,06-07-2025
P0215,15648,Accessories,20-07-2025
P0216,5424,Stationery,11-07-2025
P0217,3480,Stationery,27-07-2025
P0218,131,Beauty,02-07-2025
P0219,19197,Toys,25-07-2025
P0220,6375,Stationery,02-07-2025
P0221,3198,Accessories,06-07-2025
P0222,684,Toys,29-07-2025
P0223,17804,Home Kitchen,08-07-2025
P0224,16736,Laptop,17-07-2025
P0225,3825,Fashion,24-07-2025
P0226,5648,Stationery,22-07-2025
P0227,8639,Fashion,24-07-2025
P0228,3102,Electronics,25-07-2025
P0229,15376,Electronics,14-07-2025
P0230,19747,Fashion,25-07-2025
P0231,10275,Laptop,20-07-2025
P0232,19378,Laptop,29-07-2025
P0233,3948,Home Kitchen,11-07-2025
P0234,10527,Stationery,17-07-2025
P0235,7245,Fashion,05-07-2025
P0236,7248,Home Kitchen,30-07-2025
P0237,2074,Books,19-07-2025
P0238,6942,Laptop,11-07-2025
P0239,17548,Accessories,07-07-2025
P0240,681,Home Kitchen,19-07-2025
P0241,17877,Sports,07-07-2025
P0242,7737,Home Kitchen,06-07-2025
P0243,8194,Toys,26-07-2025
P0244,9297,Sports,29-07-2025
P0245,10088,Toys,23-07-2025
P0246,10906,Toys,01-07-2025
P0247,7263,Toys,12-07-2025
P0248,17784,Stationery,28-07-2025
P0249,17706,Accessories,27-07-2025
P0250,8253,Electronics,31-07-2025
P0251,17746,Laptop,05-07-2025
P0252,6133,Stationery,22-07-2025
P0253,3690,Electronics,08-07-2025
P0254,7264,Beauty,17-07-2025
P0255,5977,Home Kitchen,08-07-2025
P0256,5056,Stationery,03-07-2025
P0257,618,Toys,14-07-2025
P0258,19072,Toys,21-07-2025
P0259,16679,Stationery,08-07-2025
P0260,7870,Electronics,14-07-2025
P0261,9625,Sports,17-07-2025
P0262,18742,Fashion,19-07-2025
P0263,19607,Toys,24-07-2025
P0264,13952,Toys,23-07-2025
